Innovation Committee For The Public Sector;;;;;;;;;;;;;;;;;;Strategic Policy Intelligence;;
Technological Program For The Creation And Adoption Of International Standards For Mining Interoperability.;;;;;;;;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;;
Seed Starts;;;;;;;Financial Support To Business R&D And Innovation;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;;
Seed Expands;;;;;;;Financial Support To Business R&D And Innovation;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;;
Scaling;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
Scale Up Innovation;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
Dynamize;;;;;;;;;;;;;;;;;;;;
Viralize;;;;;;;;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;;
Invest;;;;;;;;;;;;;;;;;;;;
Technical Group For Innovation - Pacific Alliance;;;;;;;;;;;;;;;;;;;;
Be Part Of Innovation;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;Stimulating Demand For Innovation And Market Creation;;Targeted Support To Smes;
Create And Validate;;;;Collaborative Research And Innovation;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;Targeted Support To Smes;
Regional Innovation;;;Cluster Policies;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
Artificial Intelligence National Policy;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;;;
National Challenges;;Business Innovation Policy Strategies;;;;;;;;;;;;;;;;;;
Innovation Division;;;;;;;;Horizontal Policy Coordination;;;;;;;;;;;;
National Prize Of Science;;;;;;;;;;;;;;;;;;;;
Learning Cycle For Program Evaluation;;;;;;;;;;;;;;;;;;Strategic Policy Intelligence;;
Law Of Municipal Taxes;;;;;;;;;;;;;;;;;;;;
Power Innovation;;;;;;;;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;;
Technological Strategic Programs;;;Cluster Policies;Collaborative Research And Innovation;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
National Industrial Property Strategy;;Business Innovation Policy Strategies;;;;;;;;;;;;;;;;;;
Chile Scholarships;;;;;;;;;;;;;;;;;;;;
Placement Of Doctors In Business;;;;;;;;;Intersectoral Mobility;;;;;;;;;;;
Chile-Colombia Joint Efforts To Incorporate Hydrogen As A Clean Energy Source;;;;;;;;;;;;;;;;;;;;
1st Network For Energy Efficiency And Emissions Reduction In Mining;;;;;;;;;;;;;;;;;;;;
Reform Of The Higher Education System;;;;;;;;;;;;;;;;;;;;
Millennium Science Initiative;;;;;;;;;;;;;;;;;;;;
Fund For Scientific And Technological Equipment;;;;Collaborative Research And Innovation;;;;;;;;;;;;;;;;
Institutional Policy On Management Of Research Data And Scientific Information;;;;;;;;;;;;;Open Science And Enhanced Access To Publications And Research Data;;;;;;;
Install Innovation;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
National Plan For Knowledge Transfer And Technology Transfer;;;;;;;;;;;;;;;;;;;;
Centers Of Excellence - International Competitiveness;;;Cluster Policies;Collaborative Research And Innovation;;;;;;;;;;;;;;;;
Fund For The Promotion Of Scientific And Technological Development;;;;Collaborative Research And Innovation;;;;;;;;;;;;;;;;
Technological Consortia 2.0;;;Cluster Policies;Collaborative Research And Innovation;;;;;;;;;;;;;;;;
Transfer And Licensing Offices;;;;;;;;;;;;;;;;;;;;
National Prize Of Innovation;;;;;;;;;;;;Non-Financial Support To Business R&D And Innovation;;;;Science, Technology And Innovation Culture;;;;
R&D Tax Credit;;;;Collaborative Research And Innovation;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
Create A Company In One Day;;;;;;;;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;Targeted Support To Smes;
Start-Up Chile;;;;;;;Financial Support To Business R&D And Innovation;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;;
National Science, Technology, Knowledge And Innovation Policy;;;;;;;;;;;;;;;;;;;;
Ministerial Advisory Council For Science, Technology, Knowledge And Innovation;;;;;;;;Horizontal Policy Coordination;;;;;;;;;;Strategic Policy Intelligence;;
Interministerial Committee On Science, Technology, Knowledge And Innovation;;;;;;;;Horizontal Policy Coordination;;;;;;;;;;;;
Ministerial Advisory Committee On Data Of Public Interest;;;;;;;;Horizontal Policy Coordination;;;;;;;;;;Strategic Policy Intelligence;;
Consolidate And Expand;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
Observatory Of The National System Of Science, Technology, Knowledge, And Innovation;;;;;;;;;;;;;Open Science And Enhanced Access To Publications And Research Data;;;;;Strategic Policy Intelligence;;
Energy Policy 2050;;;;;;;;;;;;;;;;;;;;
Energy Roadmap: Leading Modernisation With A Social Element;;;;;;;;;;;;;;;;;;;;
Chilean Clean Technology Institute;;;;;;;;;;;;;;;;;;;;
Climate Change Framework Law;;;;;;;;;;;;;;;;;;;;
Regional R&D Centers;;;Cluster Policies;;;;;;;;;;;;;;;;;
Data Science Tool;;;;;;;;;;;;;Open Science And Enhanced Access To Publications And Research Data;;;;;;;
Funding Of Scientific And Technological Equipment For Centres Of Excellence;;;;;;;;;;;;;;;;;;;;
Gender Equality National Policy In Science, Technology, Knowledge And Innovation;;;;;;;;;;;;;;;;;;;;
Start Up Science;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
Nodes For The Acceleration Of Territorial Impact Of The Sti;;;Cluster Policies;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
Science & Innovation For 2030;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
Innova Chile Academy;;;;;;;;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;;
Digital Assistance Network To Strengthen Smes;;;;;Digital Transformation Of Firms;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;Targeted Support To Smes;
Explore Program;;;;;;;;;;;;;;;;Science, Technology And Innovation Culture;;;;
Public Science Program;;;;;;;;;;;;;;;;Science, Technology And Innovation Culture;;;;
Covid-19 Research Projects;;;;;;;;;;;;;;;;;;;;
Covid-19 National Challenges;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
Agricultural Innovation Projects Of Public Interest;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
Agricultural Innovation Projects Of Private Interest;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;Targeted Support To Smes;
Agricultural Innovation Consulting;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
Statistics And Evaluation Office;;;;;;;;;;;;;;;;;;Strategic Policy Intelligence;;
Agrarian Innovation Projects - Young Innovators;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
Rural Innovative Entrepreneurship Projects;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
Innovation Management Projects In Cooperatives In The Agricultural Sector;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
School Innovation Program;;;;;;;;;;;;;;;;;;;;
Public Policies Division;;;;;;;;Horizontal Policy Coordination;;;;;;;;;;;;
Covid-19 Data Sub-Table;;;;;;;;;;;;;;;;;;;;
Network Of University Research Laboratories For Diagnostics;;;;;;;;;;;;;;;;;;;;
National Covid-19 Vaccine Strategy;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
