Resource Access Program;;;;;;;;;;;;;;;;;;;;;
Science, Technology Assessment And Analytics Team;;;;;;;;;;;;;;;;;;;;;
Veteran Affairs Technology Transfer Program;;;;;;;;;;;;;;;;;;;;;
National Science Board;;;;;;;;;;;;;;;;;;;;;
Nih Diversity Supplements;;;;;;;;;;;;;;;;;;;;;
Next Generation Researchers Initiative;;;;;;;;;;;;;;;;;;;;;
Academic Societies For Responsible Conduct Of Research Program;;;;;;;;;;;;;;;;;;;;;
Environmental Protection Agency Scientific Integrity Policy;;;;;;;;;;;;;;;;;;;;;
National Science Fund Research Misconduct Policy;;;;;;;;;;;;;;;;;;;;;
Inclusion Of Women And Minorities As Subjects In Clinical Research;;;;;;;;;;;;;;;;;;;;;
Advance: Organizational Change For Gender Equality In Stem Academic Professions;;;;;;;;;;;;;;;;;;;;;
Working Group On Women In Biomedical Careers;;;;;;;;;;;;;;;;;;;;;
Women In Science Steam Camp Partnership;;;;;;;;;;;;;;;;;;;;;
Techgirls;;;;;;;;;;;;;;;;;;;;;
Techwomen;;;;;;;;;;;;;;;;;;;;;
Women And Minorities In Stem Fields Grant Program;;;;;;;;;;;;;;;;;;;;;
Specialized Centers Of Research Excellence On Sex Differences;;;;;;;;;;;;;;;;;;;;;
Building Interdisciplinary Research Careers In Womens Health;;;;;;;;;;;;;;;;;;;;;
Memorandum On Fiscal Year 21 Administration R&D Budget Priorities;;;;;;;;;;;;;;;;;;;;;
Nih Grants For Health Research And Research-Related Activities;;;;;;;;;;;;;;;;;;;;;
Department Of Health And Human Services Research Integrity Initiatives;;;;;;;;;;;;;;;;;;;;;
Us Space Policy Directive 2: Streamlining Regulations On Commercial Use Of Space;;;;;;;;;;;;;;;;;;;;;
Nist Principles For Explainable Ai;;;;;;;;;;;;;;;;;;;;;
Ftc Guidance On Using Artificial Intelligence And Algorithms;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;;;;
Local, State And Federal Regulations On Facial Recognition Technologies;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;;;;
Dod Ai Ethical Principles;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;;;;
Executive Order On Promoting The Use Of Trustworthy Ai In Federal Government;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;;;;
State Department Guidance On Products Or Services With Surveillance Capabilities;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;;;;
Guidance For Regulation Of Artificial Intelligence Applications;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;;;;
Small Business Technology Transfer Program;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;;;;
Small Business Innovation Research Program;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;Targeted Support To Smes;;
Eda Support To Innovation And Entrepreneurship;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;Targeted Support To Smes;;
Regional Innovation Clusters;;;Cluster Policies;;;;;;;;;;;;;;;;;;
America Invents Act;;;Cluster Policies;;;;;;;;;;;;;;;;;;
Graduate Research Opportunities Worldwide Program;;;;;;;;;;;;;;;;;;;;;
Solar Decathlon;;;;;;;;;;;;;;;;;;;;;
Commercial Buildings Integration Programme;;;;;;;;;;;;;;;;;;;;;
Hydrogen Program;;;;;;;;;;;;;;;;;;;;;
Carbon Storage Research Programme;;;;;;;;;;;;;;;;;;;;;
Continuous Lower Energy, Emissions, And Noise Programme;;;;;;;;;;;;;;;;;;;;;
Energy Storage Programme;;;;;;;;;;;;;;;;;;;;;
The Carbon Storage Assurance Facility Enterprise Initiative Projects;;;;;;;;;;;;;;;;;;;;;
Systems Integration And Hardware Incubator Funding Program;;;;;;;;;;;;;;;;;;;;;
Climate Innovation Working Group;;;;;;;;;;;;;;;;;;;;;
Funding For Transformative Clean Energy R&D;;;;;;;;;;;;;;;;;;;;;
Geothermal Initiative Projects;;;;;;;;;;;;;;;;;;;;;
Next-Generation Energy Technologies For Connected And Automated On-Road Vehicles Program;;;;;;;;;;;;;;;;;;;;;
Clean Energy R&D Projects For Small Businesses;;;;;;;;;;;;;;;;;;;;;
Cable Conductor Manufacturing Prize;;;;;;;;;;;;;;;;;;;;;
Flow Battery Systems Manufacuring Projects;;;;;;;;;;;;;;;;;;;;;
Energy Awards For Clean Hydrogen Technologies;;;;;;;;;;;;;;;;;;;;;
Funding For Low-Carbon Biofuels;;;;;;;;;;;;;;;;;;;;;
Funding For Small Business In Scientific Clean Energy And Climate Solutions;;;;;;;;;;;;;;;;;;;;;
Project Funding For The National 30 Gw Offshore Wind Deployment Target By 2030;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;Targeted Support To Smes;;
Supertruck 3 Funding;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;;
Low Greenhouse Gas Vehicle Technologies Funding;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;;
Ccus Major Demonstrations Programme;;;;;;;;;;;;;;;;;;;;;
Energy Storage Grand Challenge;;;;;;;;;;;;;;;;;;;;;
Storing Co2 And Lowering Emissions Act;;;;;;;;;;;;;;;;;;;;;
Administrative Relief For Recipients And Applicants Of Federal Financial Assistance Directly Impacted By The Novel Coronavirus (Covid-19);;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;;
Offsetting Unanticipated Costs In R&D Agencies;;;;;;;;;;;;;;;;;;;;;
Higher Education Emergency Relief Fund;;;;;;;;;;;;;;;;;;;;;
White House Coronavirus Taskforce;;;;;;;;;;;;;;;;;;;;;
Online Compilation Of Institutional And Agency Responses To Covid-19;;;;;;;;;;;;;;;;;;;;;
Repurposing Existing Federal Financial Assistance Programs And Awards To Support The Emergency Response To The Novel Coronavirus;;;;;;;;;;;;;;;;;;;;;
Preserving The Resilience Of The Federal Contracting Base In The Fight Against Covid-19;;;;;;;;;;;;;;;;;;;;;
Operation Warp Speed;;;;;;;;;;;;;;;;;;;;;
Prioritized Examination Programs In Relation To Covid-19;;;;;;;;;;;;;;;;;;;;;
Uspto Covid-19 Response Resource Center;;;;;;;;;;;;;;;;;;;;;
Survey Of Earned Doctorates;;;;;;;;;;;;;;;;;;;;;
Survey Of Doctorate Recipients;;;;;;;;;;;;;;;;;;Strategic Policy Intelligence;;;
Institutional Funding For The National Institute For Innovation In Manufacturing Biopharmaceuticals;;;;;;;;;;;;;;;;;;Strategic Policy Intelligence;;;
Nsf Strategic Plan For Fiscal Years 2018-2022;;;;;;;;;;;;;;;;;;;;;
Presidential Memorandum On United States Government-Supported Research And Development National Security Policy;;;;;;;;;;;;;;;;;;;;;
The Major Economies Forum On Energy And Climate;;;;;;;;;;;;;;;;;;;;;
U.S. International Climate Finance Plan;;;;;;;;;;;;;;;;;;;;;
Carbon Capture Program;;;;;;;;;;;;;;;;;;;;;
Climate Strategy;;;;;;;;;;;;;;;;;;;;;
Energy Resource Governance Initiative;;;;;;;;;;;;;;;;;;;;;
Methane Emissions Mitigation From Midstream Infrastructure Research;;;;;;;;;;;;;;;;;;;;;
Advanced Research Projects Agency Open 2021;;;;;;;;;;;;;;;;;;;;;
Sprint Challenge;;;;;;;;;;;;;;;;;;;;;
American Rescue Plan: Nsf Research Funding;;;;;;;;;;;;;;;;Science, Technology And Innovation Culture;;;;;
Advanced Research Projects Agency - Climate Programme;;;;;;;;;;;;;;;;;;;;;
Executive Order On Tackling The Climate Crisis At Home And Abroad;;;;;;;;;;;;;;;;;;;;;
Carbon Capture And Removal Provisions;;;;;;;;;;;;;;;;;;;;;
